column,block,content
1,Title + core message,"One line: the coexistence problem, then the claim."
1,"Why a map, not a review",60 words: distributional claims survive symmetric classifier noise; boundary claims do not.
1,Figure 1,"08_record_flow — the full cascade, with DEFERRED distinguished from EXCLUDED."
1,Method box,"The mandated automation sentence, verbatim, in full view."
2,Figure 2,"07_geographic_distribution — three panels: raw, per area, per capita."
2,The gap,"80 words: the ratio, and which denominator changes the ordering."
2,Figure 3,05_retrieval_by_country — access inequality as a finding.
2,Figure 4,"07_year_by_country — temporal, with the indexing caveat stated."
3,Figure 5,"08_sensitivity_ci — our own validation, uncertainty included."
3,What survives robustness,"The rank table: no stable leader, a stable bottom."
3,What this means if you work here,The practitioner box.
3,QR code,"Link to the deposited data, code and full reliability tables."
